,stadium_name,stadium_location,stadium_open,stadium_close,stadium_type,stadium_address,stadium_weather_station_code,stadium_weather_type,stadium_capacity,stadium_surface,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION
84,RFK Memorial Stadium,"Washington, DC",1961.0,1996.0,outdoor,"2400 E Capitol St SE, Washington, DC 20003",20003,moderate,NULL,NULL,USC00186350,"NATIONAL ARBORETUM DC, MD US",38.9133,-76.97,15.2
85,Rice Stadium,"Houston, TX",NULL,NULL,outdoor,"2176 University Boulevard, Houston, TX 77251",77251,warm,NULL,Grass,NULL,NULL,NULL,NULL,NULL
86,Rogers Centre,"Toronto, Canada",NULL,NULL,indoor,"1 Blue Jays Way, Toronto, ON M5V 1J1, Canada","Toronto, CA",dome,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,Rose Bowl,"Pasadena, CA",NULL,NULL,outdoor,NULL,NULL,moderate,NULL,Grass,NULL,NULL,NULL,NULL,NULL
88,Seattle Kingdome,"Seattle, WA",1976.0,1999.0,indoor,"422 2nd Ave S, Seattle, WA 98104",98104,dome,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,Shea Stadium,"Flushing, NY",NULL,NULL,outdoor,"123-01 Roosevelt Avenue, Flushing, NY 11368",11368,cold,NULL,Grass,NULL,NULL,NULL,NULL,NULL
90,SoFi Stadium,"Inglewood, CA",2020.0,NULL,outdoor,NULL,NULL,warm,70240,Hellas Matrix Turf,NULL,NULL,NULL,NULL,NULL
91,Soldier Field,"Chicago, IL",1926.0,NULL,outdoor,"1410 Museum Campus Dr, Chicago, IL 60605",60605,cold,"61,500",Grass,USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7
92,Sports Authority Field at Mile High,"Denver, CO",2001.0,NULL,outdoor,"1701 Bryant St, Denver, CO 80204",80204,cold,"76,125",Grass,USW00023062,"DENVER STAPLETON, CO US",39.7633,-104.8694,1611.2
93,Stanford Stadium,"Palo Alto, CA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94,State Farm Stadium,"Glendale, AZ",2006.0,NULL,retractable,"1 Cardinals Dr, Glendale, AZ 85305",85305,dome,"63,400",Grass,US1AZMR0451,"TEMPE 3.6 NNW, AZ US",33.4552,-111.9316,375.2
95,StubHub Center,"Los Angeles, CA",2017.0,NULL,outdoor,"18400 S Avalon Blvd, Carson, CA 90746",90746,warm,27000,Grass,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",33.938,-118.3888,29.6
96,Sun Devil Stadium,"Tempe, AZ",1988.0,2005.0,outdoor,"500 E Veterans Way, Tempe, AZ 85287",85287,warm,NULL,NULL,US1AZMR0451,"TEMPE 3.6 NNW, AZ US",33.4552,-111.9316,375.2
97,Sun Life Stadium,"Miami Gardens, FL",1987.0,NULL,outdoor,"347 Don Shula Dr, Miami Gardens, FL 33056",33056,warm,NULL,NULL,USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7905,-80.3163,8.8
98,Tampa Stadium,"Tampa, FL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,TCF Bank Stadium,"Minneapolis, MN",2010.0,2015.0,outdoor,"420 SE 23rd Ave, Minneapolis, MN 55455",55455,cold,NULL,NULL,USW00014922,"MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8
100,Texas Stadium,"Irving, TX",1971.0,2008.0,outdoor,"2401 E Airport Fwy, Irving, TX 75062",75062,moderate,NULL,NULL,USC00410337,"ARLINGTON SIX FLAGS, TX US",32.7572,-97.0736,163.4
101,Three Rivers Stadium,"Pittsburgh, PA",1970.0,2000.0,outdoor,"W General Robinson St, Pittsburgh, PA 15212",15212,cold,NULL,NULL,USW00094823,"PITTSBURGH ASOS, PA US",40.4846,-80.2144,366.7
102,TIAA Bank Field,"Jacksonville, FL",1995.0,NULL,outdoor,"1 Everbank Field Dr, Jacksonville, FL 32202",32202,warm,"67,264",Grass,USW00093837,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1
103,Tiger Stadium,"Detroit, MI",NULL,NULL,outdoor,"2121 Trumbull Ave., Detroit, MI 48216",48216,cold,NULL,Grass,NULL,NULL,NULL,NULL,NULL
104,Tiger Stadium (LSU),"Baton Rouge, LA",2005.0,2005.0,outdoor,"Baton Rouge, LA 70803",70803,warm,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,Tottenham Hotspur Stadium,"London, UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,Tottenham Stadium,"London, UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,Tulane Stadium,"New Orleans, LA",NULL,NULL,outdoor,"Willow St. & Audubon Blvd., New Orleans, LA 70118",70118,warm,NULL,"Grass, Turf (1971-1974)",NULL,NULL,NULL,NULL,NULL
108,Twickenham Stadium,"London, UK",1909.0,NULL,outdoor,"200 Whitton Road, TW2 7BA, London, UK",NULL,moderate,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109,U.S. Bank Stadium,"Minneapolis, MN",2016.0,NULL,indoor,"401 Chicago Ave, Minneapolis, MN 55415",55415,dome,"66,200",FieldTurf,NULL,NULL,NULL,NULL,NULL
110,University of Phoenix Stadium,"Glendale, AZ",2006.0,NULL,retractable,"1 Cardinals Dr, Glendale, AZ 85305",85305,dome,"63,400",Grass,US1AZMR0451,"TEMPE 3.6 NNW, AZ US",33.4552,-111.9316,375.2
111,Vanderbilt Stadium,"Nashville, TN",1998.0,1998.0,outdoor,"Nashville, TN 37203",37203,moderate,NULL,NULL,USW00013897,"NASHVILLE INTERNATIONAL AIRPORT, TN US",36.11889,-86.68916999999999,182.9
112,Veterans Stadium,"Philadelphia, PA",1971.0,2002.0,outdoor,"3501 South Broad Street, Philadelphia, Pennsylvania 19148",19148,cold,NULL,NULL,USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0
113,War Memorial Stadium,"Buffalo, NY",1960.0,1972.0,outdoor,"285 Dodge Street, Buffalo, NY 14208",14208,cold,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114,Wembley Stadium,"London, UK",2007.0,NULL,outdoor,"Wembley, London HA9 0WS, United Kingdom","Heathrow, UK",moderate,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115,Wrigley Field,"Chicago, IL",1920.0,1970.0,outdoor,"1060 West Addison Street, Chicago, IL 60613",60613,cold,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116,Yale Bowl,"New Haven, CT",NULL,NULL,outdoor,"276 Derby Ave, West Haven, CT 06516",6516,cold,NULL,Grass,NULL,NULL,NULL,NULL,NULL
117,Yankee Stadium,"Bronx, NY",NULL,NULL,outdoor,NULL,NULL,cold,NULL,NULL,NULL,NULL,NULL,NULL,NULL
